text,source
上帝<br/>我的上帝<br/>我接受你的救恩<br/>用我的所有<br/>用我的所有<br/>为这人间的正义<br/>为这人间的正义<br/>为这人间的正义<br/>让我知道<br/>让我知道<br/>接受你的信义<br/>接受你的信义<br/>接受你的信义<br/>让我在这人世间<br/>让我在这人世间<br/>让我在这人世间<br/>接受你的信义<br/>接受你的信义<br/>接受你的信义<br/>我的上帝<br/>我的上帝<br/>上帝,p80
轻轻地<br/>推开窗<br/>让阳光<br/>洒进心房<br/>暖洋洋<br/>的春天<br/>朝我走来<br/>不再有<br/>悲伤<br/>和凄凉<br/>在这欢乐<br/>幸福<br/>时光<br/>啊<br/>愿这阳光<br/>照耀着<br/>你和我<br/>随着歌声<br/>翩翩起舞<br/>飞到那<br/>遥远地方<br/>遥远地方<br/>你是梦<br/>你是爱<br/>你是我的全部<br/>啊<br/>心中的太阳<br/>如此明亮<br/>我的生活<br/>充满阳光<br/>你是,p80
让世界<br/><br/>变得更温暖<br/><br/>它曾经那么的冰冷<br/><br/>让所有的人们都<br/><br/>面带微笑<br/><br/>而不是现在这样<br/><br/>虚伪和欺骗<br/><br/>如果不能改变命运<br/><br/>那就改变自己<br/><br/>让阳光照进<br/><br/>每个人的心里<br/><br/>啊～<br/><br/>希望之光<br/><br/>让太阳升起<br/><br/>照耀大地<br/><br/>我们是一家人<br/><br/>不分离<br/><br/>不论距离多遥远<br/><br/>不论多久<br/><br/>在阳光里我们<br/><br/>寻找着希望<br/><br/>那永恒的光<br/><br/>照亮世界<br/><br/>我们在一起<br/><br/>,p80
"I woke up in a city,That was so strange to me<br/>With cars parked way up high,And no people in sight<br/>It was like a scene,From a dream I once knew<br/>When I was a child<br/>I woke up in a city,That was so strange to me<br/>With cars parked way up high,And no people in sight<br/>It was like a scene,From a dream I once knew<br/>When I was a child<br/>（a）Shining",p80
我渴望那个季节 真正的爱情<br/>甚至从未去过那里 我将不能从那个房间出来<br/>将我在秋千上荡漾<br/>总是在这种疯狂中 梦想着坠入爱河<br/>爱情永远不回来 就像秋天到来<br/>如果你不能爱我 为什么在晚上哭泣<br/>爱 爱的感觉来了又去<br/>爱 只是感觉来了又去<br/>你在那个秋千上哭了吗？<br/>不是的<br/>我爱你<br/>我哭是因为我爱你<br/>我们不应该来这，夏洛特<br/>- 下午好,p80
我的男朋友<br/>有一个男朋友<br/>他曾说他爱我<br/>他有宽阔的肩膀<br/>所以当他拥抱我<br/>世界都颤抖<br/>他的男朋友<br/>有一个男朋友<br/>他曾说会照顾我<br/>他有英俊的脸孔<br/>所以每次看到他<br/>我都会微笑<br/>他的男朋友<br/>有一个男朋友<br/>一个爱笑的男朋友<br/>总是那么快乐<br/>而我的男朋友<br/>一个爱哭的男朋友<br/>总是那么伤心<br/>我比不上他<br/>我的男朋友<br/>他的男朋友<br/>和我说话时<br/>,p80
You know when I say my best friends you are<br/>You know when I say you walk with me<br/>You know when I say you always will be<br/>You know that I can not say no more<br/><br/>你总是告诉我你有多爱我<br/>你总是说我们是最好的朋友<br/>你总是说我们永远在一起<br/>你知道你让我不能说不<br/><br/>And I know when I need you most of all<br/>And I know when you need me too<br/>And I know when I need to talk to you<br/>,p80
01 爱情酿的酒 02 我的爱无家可归 03 不怕 04 爱情酒 05 绝情 06 我不再想你 07 偷偷爱着你 08 等待的人 09 玫瑰情话 10 爱情密码 11 你爱的不是我 12 谁叫我爱你<br/>感谢您采纳我的回答,p80
很想牵着你的手<br/><br/>走在林间的小路上<br/><br/>晚风轻拂脸庞<br/><br/>夕阳西下<br/><br/>我望着你<br/><br/>羞红的脸庞<br/><br/>心里忽然荡起层层的涟漪<br/><br/>那是我第一次见到你<br/><br/>我的爱人<br/><br/>夕阳落下了山<br/><br/>天边那颗孤星闪闪<br/><br/>就像你那调皮的眼神<br/><br/>我忍不住想吻你<br/><br/>吻你吻你<br/><br/>就在那片枫树林<br/><br/>我爱你<br/><br/>我的爱人<br/><br/>我爱你<br/><br/>,p80
All the things I want to say to you<br/>It's no matter what you do or where you are<br/>All the things I want to say to you<br/>It's no matter what you do or where you are<br/>想你 想你 想你<br/>想你 想你 想你<br/>想你 想你 想你<br/>无论你在何处 无论你做什么<br/>All the things I want to say to you<br/>It's no matter what you do or where you are<br/>All the things I want to say to,p80
黑黑的天空低垂 亮亮的繁星相随<br/>虫儿飞 虫儿飞 你在思念谁<br/><br/>浪漫的夏季已来到 荷花儿香 叶儿翠<br/>风儿吹 雨儿飘 铃儿响叮当<br/><br/>我们坐在高高的谷堆旁边<br/>听妈妈讲那过去的事情<br/><br/>那时候天还是很蓝<br/>日子总过得太慢<br/>在转眼中 过了这么多年<br/>花儿又谢了 月儿又弯了<br/>,p80
看着我<br/>你看到了什么?<br/>你看到的 是个年轻的梦想<br/>看到了一个梦想<br/>一个梦想<br/>你不理解我说的?<br/>我不理解你的思想<br/>我不理解你<br/>但我很高兴看到你<br/>很高兴看到你<br/>很高兴见到你<br/>你知道吗<br/>我有一种感觉<br/>有一种感觉<br/>我们注定要在一起<br/>我们注定要在一起<br/>你知道吗<br/>有一种感觉<br/>我很高兴见到你<br/>看着我<br/>你看到了什么?<br/>你看到的 是个年轻的梦想<br/>看到了一个梦想<br/>一个梦想<br/>你不理解我说的?<br/>我不理解,p80
迷茫的小鹿想冲破枷锁<br/>小野马想四处奔放<br/>别烦我<br/>我要走自己的路<br/>喔<br/>喔<br/>喔<br/>喔<br/>什么<br/>什么<br/>喔<br/>喔<br/>喔<br/>喔<br/>迷茫的小鹿想冲破枷锁<br/>小野马想四处奔放<br/>别烦我<br/>我要走自己的路<br/>喔<br/>喔<br/>喔<br/>喔<br/>什么<br/>什么<br/>喔<br/>喔<br/>喔<br/>喔<br/>迷茫的小鹿,p80
Hi baby 嗨 宝贝<br/>How do I turn you on? 我怎样才能让你兴奋<br/>It's my first time 这是我的第一次<br/>It's my first time 这是我的第一次<br/>It's my first time 这是我的第一次<br/>It's my first time 这是我的第一次<br/>It's my first time 这是我的第一次<br/>It's my first time 这是我的第一次<br/>It's my first time 这是我的第一次<br/>It's my first time 这是我的第一次<br/>It's my first time 这是我的第一次<br/>It's my first time 这是我的第一次<br/>It's my,p80
你是我的，你是我的，你是我的<br/>我梦中的一切，我心中的一切<br/>我今生的一切，我今世的一切<br/>我一切的一切，我的星星<br/>我的星星，我的星星，我的星星<br/>我的星星，我的星星，我的星星<br/>我的星星，我的星星，我的星星<br/>我的星星，我的星星，我的星星<br/>我的星星，我的星星，我的星星<br/>我的星星，我的星星，我的星星<br/>我的星星，我的星星，我的星星<br/>我的星星,p80
从我十五岁的时候起<br/>我已离开了学校<br/>曾经有梦想在我的心底<br/>为了得到它我愿意做任何事情<br/>如果我失败了<br/>我总是对自己说<br/>我会再努力一次<br/>我的过去<br/>总是充满着斗争<br/>只要我还有力气我就会拼搏<br/>人生就是奋斗的过程<br/>如果我需要休息<br/>我会把一切放在一边<br/>一切烦恼都会消失<br/>如果我想知道我为什么活着<br/>就是为了爱我的人<br/>为他们而活<br/>为了爱的人而活<br/>,p80
What the hell is going on?<br/>What the hell is going on?<br/>What the hell is going on?<br/>What the hell is going on?<br/>What the hell is going on?<br/>What the hell is going on?<br/>What the hell is going on?<br/>What the hell is going on?<br/>What the hell is going on?<br/>What the hell is going on?<br/>I am your ghost from the past<br/>I am your shadow on the wall<br/>I am the dark when the daylight ends<br/>I am the breath when,p80
&sung;&sung;&sung;&sung;&sung;&sung;&sung;&sung;&sung;&sung;&sung;&sung;&sung;&sung;&sung;&sung;&sung;&sung;&sung;&sung;&sung;&sung;&sung;&sung;&sung;&sung;&sung;&sung;&sung;&sung;&sung;&sung;&sung;&sung;&sung;&sung;&sung;&sung;&sung;&sung;&sung;&sung;&sung;&sung;&sung;&sung;&sung;&sung;&sung;&sung,p80
星星闪烁不定，<br/>人群川流不息。<br/>没人知道我将去向何方，<br/>我的道路不在地图上。<br/>然而尽管，<br/><br/>我身处何方，<br/><br/>我永不会走错，<br/>因为我心中有路。<br/>我只要忠于自我，<br/>我要让全世界都知道<br/>我绝不会走错。<br/>天空无法选择鸟儿的飞翔，<br/>大海无法选择鱼儿的游动。<br/>我能选择我人生的道路，<br/>也能创造出我自己的辉煌。<br/>尽管我身处何方,p80
愿我们一切安好<br/>亲爱的<br/>要是我有足够的能力<br/>我就会回到那个地方<br/>我们会再次相逢<br/>就像人们说的那样<br/>已经到了该说再见的时候<br/>但我想给你一个小小的提醒<br/>曾经被遗忘的爱情<br/>曾让我如此地想念<br/>我们曾拥有最美的时光<br/>让我握住你的手<br/>没有伤痛<br/>没有忧伤<br/>没有哭泣<br/>也没有泪水<br/>让时间倒转<br/>让我们再次相见<br/>让我再一次看到你微笑的面容<br/>,p80
《我心永恒》——席琳·迪翁<br/>你沉睡着的脸庞<br/>依然安详<br/>我在梦中轻声呼唤你的名字<br/>你却始终不语<br/>只是安详地<br/>紧闭着双眼<br/>等待我的声音<br/>告诉我你爱我<br/>告诉我你将永远不会离我而去<br/>你苍白的双手<br/>依然紧握<br/>等待我的声音<br/>告诉我你爱我<br/>告诉我你将永远不会离我而去<br/>无论你身在何处<br/>我都会找到你<br/>无论你,p80
"When you wake up in the morning<br/>看着你在清晨醒来<br/>Say a little prayer for<br/>对上天祈祷<br/>The one you love<br/>你爱的人<br/>Baby, that`s what I want to do for you 宝贝，这是我想为你做的<br/>When you go out at night<br/>当你晚上出去<br/>And hold your head up high<br/>昂首挺胸<br/>Knowing I`ll be there<br/>你知道我会在那里<br/>Singing<br/>不停的唱<br/>Sweet love songs to you<br/>",p80
我们以为天塌下来也会有高个的人来顶住<br/><br/>生活给我们考验它又算得了什么<br/><br/>不是我们去改变生活<br/><br/>是生活改变我们<br/><br/>为了实现心中的理想<br/><br/>我们曾经历了太多太多<br/><br/>可是每一次的失望<br/><br/>让我不知所措<br/><br/>我不知道到底为什么<br/><br/>难道我们一定要为了生活而改变自己<br/><br/>生活是现实的也是残酷的<br/><br/>我们无力去改变<br/><br/>只有去适应<br/><br/>其实人生活着就是一种心情<br/><br/>每一种心情都是不同的体会,p80
下着雨的夜<br/>我们曾一起走过<br/>可是最后分手了<br/>她靠着我的肩<br/>那时候的我们<br/>爱还像气球般<br/>远远的飘着<br/>在相遇的地方<br/>不知觉的停住了<br/>那是思念的河<br/>就像拉开了<br/>满满的回忆<br/>忽然间<br/>我在黑暗的夜里<br/>找到了星星的指引<br/>不再寂寞的迷路<br/>爱让勇气在心中<br/>点亮了灯<br/>在那过去的旅行中<br/>那,p80
1. 黄昏里，他吻了她的脸颊，然后说再见，并承诺很快回来。<br/>2. 他只是匆匆，说再见，并不想走。<br/>3. 在她的心，在他离开前，她爱的梦，就破碎了。<br/>4. 她太爱他，伤得如此严重，她觉得，她将无法再活下去。<br/>5. 但是，他不相信，爱情会死亡，所以他离开了，不会再回头。<br/>6. 想到这一天，她,p80
Rivers in the desert 是沙漠中的河流<br/>Lonely hearts call each other 孤独的心相互呼唤<br/>To get across the sand dunes 为了穿越沙丘<br/>In search of water to drink 找水解渴<br/>In search of love to share 找爱分享<br/>And in the distance 在远处<br/>You can hear them calling 你听到他们的呼唤<br/>If you have to search forever 如果你永远找<br/>If you have to search far and wide 如果你远走寻<br/>,p80
她想要我吗<br/>我已经厌倦了等待。<br/>让我走，我不想你。<br/>我为什么要等<br/>我不懂。<br/>你打电话给魔鬼，他在那里。<br/>你最好离他远点，宝贝。<br/>哦，但是，如果我爱你，你为什么要离开我<br/>我已经厌倦了等待。<br/>让我走，我不想你。<br/>我为什么要等<br/>我不懂。<br/>你打电话给魔鬼，他在那里。<br/>你最好离他远点，宝贝。<br/>我不需要爱，我需要很多。<br/>我不想只与你分享。<br/>我希望,p80
站在这里望着天空<br/>今夜的星星又少了几颗<br/>你说过 如果我离开你<br/>会永远都不快乐<br/>我的身体充满了空气<br/>想让你的吻能够回航<br/>你不知道 你不知道<br/>一厢情愿的爱情<br/>是不会有幸福的<br/>就如同那闪烁的星星<br/>只是一刹那的光芒<br/>就如同我心中 对你的那份爱<br/>总是无法填满<br/>也许 你永远都不会知道<br/>我在这里守候着<br/>用我一生的时间,p80
没有灯光，没有颜色，没有快乐，没有时间。<br/>没有爱情，没有伤痛，没有感觉，没有空间。<br/>我想要飞，飞向梦中的婚礼。<br/>对不起，我丢下我自己。<br/>我是无比的激动，我是无比的悲伤。<br/>这一刻，泪水从我的眼睛流下。<br/>我飞过狂风暴雨，我穿过成千上万的人群。<br/>我的心在寻找着一切。<br/>当我飞过狂风暴雨，我穿过成千上万的人群。<br/>我的心在寻找着一切。<br/>,p80
《想把我唱给你听》<br/><br/>王东<br/>把你的照片放在我的办公桌上<br/>每天清晨看着你<br/><br/>让我有了精神<br/>把你的照片贴在厕所的墙上<br/>每次入厕都想着你<br/><br/>让你也离不开我<br/>嘿 亲爱的 你可知道<br/><br/>我多爱你<br/>真想唱一首歌<br/>唱出我对你所有的爱<br/>想把我唱给你听<br/>让你知道<br/>你就是我的梦想<br/>想把我唱给你听<br/>让你知道<br/>不管有多遥远<br/>就算有天�,p80
"记得第一次在CD上听到这首歌的时候就喜欢上了它，后来从《名扬四海》知道这首歌原来叫""Whenever, Wherever""。最近重温了《Titanic》这部电影，也听了这首歌，心里有说不出的感觉。我记得听这首歌是在《Titanic》这部电影里面一个让人很感动的地方，后来我才知道这首歌原来是Celine Dion唱的，这是她唱的第一首英文歌，不过却一下子红遍了全世界。",p80
所有的男男女女<br/>看起来都差不多<br/>谁会知道<br/>在满地尘土之中<br/>会不会有谁<br/>还守着约<br/>春风满面<br/>会不会有谁<br/>会给我意外的爱情<br/>然而　只有你<br/>好像不认识我<br/>经过这里<br/>神色漠然<br/>难道你<br/>从来就没有在乎我<br/>就让我留在<br/>你转身以后的雨里<br/>就让我留在<br/>最寂寞的季节<br/>既然你说<br/>这是你此生决定的方向<br/>我在,p80
"Cause I like my car, my car, my car, my car<br/>因为我喜欢我的车，我的车，我的车，我的车<br/>Yes I like my car, my car, my car, my car<br/>是的，我喜欢我的车，我的车，我的车，我的车<br/>And if you like my car, you can keep it<br/>如果你喜欢我的车，你可以把它<br/>Cause I like my car, my car, my car, my car<br/>因为我喜欢我的车，我的",p80
每一次的离别，让我非常痛苦。<br/>虽然我们并不真的认识。<br/>而当火车离开月台时，<br/>你所有的希望和理想。<br/>就会离开你而去。<br/>还有我的生命，我和你的一切，<br/>都已经结束了。<br/>因为你已经说出了再见。<br/>而我已泪流满面。<br/>我已泪流满面。<br/><br/>现在有很多国外电影被翻译成中文，但都经过了改编，与原版的剧情有很大的不同，而有的台词也被翻译得与原版差别很大，但是总体,p80
小河<br/>曲: 吴正忠<br/>词: 吴正忠<br/>儿时的小河<br/>是多么美丽<br/>梦中的绿洲<br/>那么甜蜜<br/>那蓝蓝的天空<br/>白云朵朵<br/>小河<br/>小河<br/>你为何不再清澈<br/>小河<br/>小河<br/>你为何不再美丽<br/>不要哭<br/>不要再悲伤<br/>如今的你<br/>历经沧桑<br/>为了一句承诺<br/>让黄河断流<br/>小河<br/>小河<br/>你为何不再清,p80
你曾经那么温柔地说过<br/>我是你唯一的爱<br/>你的眼睛早已告诉我<br/>我对你有多么重要<br/>我怎能视而不见<br/>你为我所做的一切<br/>现在你又为何远离我<br/>请告诉我为什么<br/>你要离开我<br/>你离开我<br/>是什么让你<br/>如此离开我<br/>请告诉我<br/>是什么让你<br/>如此离开我<br/>我对你有多么重要<br/>你怎能视而不见<br/>你为我所做的一切<br/>现在你又为何远离我<br/>请告诉我为什么<br/>你要离开,p80
有首歌 唱著 在日落之後<br/>再相聚 然後永遠一起<br/>其實很多時候 沒事情發生<br/>有首歌 唱著 如果能在一起<br/>說你會永遠愛我<br/>永遠有多遠 我始終不相信<br/>有首歌 唱著 相愛<br/>怎麼能放棄 一切只因為<br/>唱著我和你永遠都不會分開<br/>有首歌 唱著 相愛<br/>怎麼能放棄 一切只因為<br/>唱著我和你永遠都不會分開<br/>有首歌 唱著,p80
海边的卡夫卡<br/>词：谢宇威/黄建昌<br/>曲：谢宇威<br/>看一看走过的那些日子<br/>脚步零乱<br/>心事零乱<br/>你让风带走我<br/>我让风带走你<br/>我们什么也没留下<br/>而时间带走一切<br/>是多么的自然<br/>梦在落叶堆里<br/>随晚风摇曳<br/>一伸手<br/>就有一片从指间溜走<br/>而月亮<br/>就在我手中<br/>只是看不清<br/>,p80
我们是炎黄子孙，<br/>我们爱中华，<br/>我们是龙的传人，<br/>永永远远要听从党中央指挥。<br/>我们是炎黄子孙，<br/>我们爱中华，<br/>我们有几千年的历史，<br/>永远要对祖国热爱，<br/>要为祖国奉献。<br/><br/>祝您新年快乐，春节快乐。,p80
人应该活得像鸟儿<br/>自由地飞翔在天空<br/>没有任何束缚<br/>生活不能等待<br/>要及时行乐<br/>你感到孤独<br/>你要去追逐<br/>你爱的人<br/>你要珍惜<br/>每一天的快乐<br/>享受生活<br/>把握现在<br/>你永远都不知道<br/>明天的你会是怎样<br/>你要抓住<br/>每一个机会<br/>如果你还想<br/>得到爱<br/>要活得像鸟儿<br/>自由地飞翔<br/>享受生活<br/>享受生活<br/>享受生活<br/>享受生活<br/>你,p80
Shakira - Años Luz<br/>一朵花盛开的声音<br/>带着奇迹和所有的爱<br/>爱得这般强烈<br/>像一个飓风<br/>我想要永远<br/>像这样和你在一起<br/>永远不分离<br/>当一个人 慢慢老去<br/>灵魂也会跟着<br/>长出皱纹<br/>但是我对你的爱<br/>永远不会<br/>减少一分一毫<br/>一秒也不会<br/>让我们的爱去流浪<br/>在我们心中的沙漠<br/>你就是我的绿洲<br/>永远是蓝天<br/>给你我一生的爱<br/>如果,p80
顺风，顺风，不觉得风很大吗？<br/>世界是旋转的， 你别害怕，顺着风<br/>顺风，顺风，不觉得风很大吗？<br/>转啊转，转啊转，把心放轻松<br/>旋转的地球在转，转出大未来<br/>风筝在高处飞，我们都喜欢<br/>抬头看，转个圈，世界又不同<br/>旋转的地球在转，转出大未来<br/>风筝在高处飞，我们都喜欢,p80
"So what if I do want you, you know you got me<br/><br/>I do want you and I got you, you got me<br/><br/>I do want you, you know you got me<br/><br/>I do want you and I got you, you got me<br/><br/>If you ever get tired of hanging out with me<br/><br/>Don't be scared to let me know<br/><br/>I'll make a couple of plans and I'll be out<br/><br/>If you ever feel like you're losing me<br/><br/>Don't worry, girl<br/><br/>You can bring it to",p80
黑夜即将来临 夕阳就要沉没<br/>我知道是时候该离开了<br/>我必须走了 乘着最后一趟列车<br/>远去。<br/>别再为我担心 我不会感到害怕<br/>再见。<br/>请为我祈祷 我不会孤单的走<br/>我身边总有一道光芒<br/>它会一直照亮我的前方。<br/>夜晚虽已来临 但太阳依旧高照<br/>我知道我应该继续前行<br/>我应经离开了我熟悉的家园<br/>但永远都不会孤单<br/>因为有你温暖的双手<br/>,p80
你<br/>从你的脸<br/>望向蓝天<br/>像翅膀<br/>我希望<br/>飞翔<br/>你<br/>从你的梦<br/>望向世界<br/>像翅膀<br/>有希望<br/>你<br/>就像蓝天<br/>拥抱世界<br/>还有希望<br/>希望<br/>就是<br/>你<br/>这就是你为什么让我眩晕的原因。<br/>这是我非常喜欢的一首歌。我觉得，这篇文章应该用这首歌作为背景音乐。<br/>事实上，你永远不知道什么叫做幸福，直到你与相爱的人共度一生。<br/>没有人能阻止一个,p80
我见到一个婴儿，被抛弃在路边<br/>我问他，“谁把你扔在这里？”<br/>他看着我，开始哭泣。<br/>“为什么有人会把我抛弃？”<br/>他告诉了我，他是怎样来到这世界上<br/>他告诉我，他不属于任何人。<br/>“我想回家”<br/>我问他，“家在什么地方？”<br/>他指着星星，他摇摇头<br/>我问他，“你多大了？”<br/>他告诉我，他没有生日。<br/>“我不知道我属于谁”<br/>他是,p80
"Everything I own I owe to you<br/>我所拥有的一切都是你的<br/>I would not be alive, if it was not for you<br/>没有你，我不可能活着<br/>And I could not be sure, if it was not for you<br/>没有你，我不可能确定<br/>You are the reason that I'm moving<br/>你使我生活有了目标<br/>You are the reason that I'm breathing<br/>你使我呼吸有了意义<br/>You're all I've ever wanted<br/>你是我所有想要的一切<br/>And all I've ever needed",p80
青春是挽不回的水<br/>转眼消失在指间<br/>用力的浪费 再用力的后悔<br/>不要沉溺于过去，接受新的生活，新的自己，新的团队！<br/><br/>谁说不可以<br/>谁说不可以<br/>谁说不可以<br/>擦干眼泪告诉自己不准哭<br/>说好不准哭<br/>深呼吸 深呼吸<br/>我们要坚强 我们要坚强<br/>我们要坚强<br/>听见没有 听见没有<br/>谁说不可以<br/>我是最棒的<br/>擦干眼泪告诉自己不准哭<br/>不准,p80
We can't dance<br/>We can't talk<br/>And we can't even walk in the same direction<br/>We can't sleep<br/>We can't eat<br/>We can't even breathe at the same time<br/>We can't cry<br/>We can't laugh<br/>When we can't even smile without a reason<br/>No more daydreams<br/>We can't play<br/>I can't touch you and you can't touch me<br/>We can't move<br/>There's no life<br/>We can't feel<br/>We can't even see when we're blinded by pride<br/>We can't leave<br/>,p80
我愿你有一颗宁静的心，一双发现美的眼睛。<br/>在这无情的世界里，有一张真实温暖的脸。<br/>为了那些你珍惜的，你爱的。<br/>不再彷徨，不再恐惧。<br/>没有彷徨，没有恐惧。<br/>我们每个人都在这座城市里，孤独地走着，盼望着有一天能拥有人生中最值得珍惜的东西。<br/>把背影留给曾经。<br/>对过往挥挥手。<br/>那些来不及的爱，来不及诉说的话，,p80
哪里都少不了<br/>善良<br/>美丽<br/>甜美的眼睛<br/>星星在天上闪烁<br/>闪烁着智慧的光芒<br/>好想把它摘下<br/>挂在明亮的窗口<br/>让所有孩子每天都能<br/>见到<br/>每一个黎明和夜晚<br/>太阳和月亮<br/>传递着神秘的语言<br/>每一朵鲜花和绿叶<br/>都会把新的希望<br/>孕育<br/>每一次的阴和晴<br/>风和雨<br/>记录着每段奇妙的旅行<br/>每一个故事和,p80
夜来香<br/>词曲：黎锦光<br/>演唱：邓丽君<br/>轻轻地<br/>我走了<br/>正如我轻轻地<br/>来<br/>我轻轻地招手<br/>作别西天的云彩<br/>那河畔的金柳<br/>是夕阳中的新娘<br/>波光里的艳影<br/>在我的心头荡漾<br/>软泥上的青荇<br/>油油的在水底招摇<br/>在康河的柔波里<br/>我甘心做一条水草<br/>那榆荫下,p80
